0,Bond,102,102,102
1,H,204,204,204
2,He,216,255,255
3,Li,204,124,204
4,Be,204,255,0
5,B,255,181,181
6,C,142,142,142
7,N,25,25,229
8,O,229, 0,0
9,F,178,255,255
10,Ne,175,226,244
11,Na,170,91,242
12,Mg,178,204,91
13,Al,209,165,165
14,Si,127,153,153
15,P,255,127,0
16,S,255,198,40
17,Cl,25,239,25
18,Ar,127,209,226
19,K,142,63,211
20,Ca,153,153,0
21,Sc,229,229,226
22,Ti,191,193,198
23,V,165,165,170
24,Cr,137,153,198
25,Mn,155,122,198
26,Fe,127,122,198
27,Co,91,109,255
28,Ni,91,122,193
29,Cu,255,122,96
30,Zn,124,127,175
31,Ga,193,142,142
32,Ge,102,142,142
33,As,188,127,226
34,Se,255,160,0
35,Br,165,33,33
36,Kr,91,186,209
37,Rb,112,45,175
38,Sr,127,102,0
39,Y,147,252,255
40,Zr,147,224,224
41,Nb,114,193,201
42,Mo,84,181,181
43,Tc,58,158,168
44,Ru,35,142,150
45,Rh,10,124,140
46,Pd,0,104,132
49,Ag,153,198,255
48,Zr,255,216,142
49,In,165,117,114
50,Sn,102,127,127
51,Sb,158,99,181
52,Te,211,122,0
53,I,147,0,147
54,Xe,66,158,175
55,Cs,86,22,142
56,Ba,102,51,0
57,La,112,221,255
58,Ce,255,255,198
59,Pr,216,255,198
60,Nd,198,255,198
61,Pm,163,255,198
62,Sm,142,255,198
63,Eu,96,255,198
64,Gd,68,255,198
65,Tb,48,255,198
66,Dy,30,255,181
67,Ho,0,255,181
68,Er,0,229,117
69,Tm,0,211,81
70,Yb,0,191,56
71,Lu,0,170,35
72,Hf,76,193,255
73,Ta,76,165,255
74,W,38,147,214
75,Re,38,124,170
76,Os,38,102,150
77,Ir,22,84,135
78,Pt,22,91,142
79,Au,255,209,35
80,Hg,181,181,193
81,Tl,165,84,76
82,Pb,86,89,96
83,Bi,158,79,181
84,Po,170,91,0
85,At,117,79,68
86,Rn,66,130,150
87,Fr,66,0,102
88,Ra,76,25,0
89,Ac,112,170,249
90,Th,0,186,255
91,Pa,0,160,255
92,U,0,142,255
93,Np,0,127,242
94,Pu,0,107,242
95,Am,84,91,242
96,Cm,119,91,226
97,Bk,197,64,226
98,Cf,160,53,211
99,Es,168,43,198
100,Fm,178,30,186
101,Md,178,12,165
102,No,188,12,135
103,Lr,198,0,102
104,Rf,255,127,127
105,Db,229,102,102
106,Sg,204,76,76
107,Bh,178,51,51
108,Hs,153,25,25
109,Mt,127,0,0
